,school_name,type,math_score,reading_score
0,Huang High School,District,79,66
1,Huang High School,District,61,94
2,Huang High School,District,60,90
3,Huang High School,District,58,67
4,Huang High School,District,84,97
5,Huang High School,District,94,94
6,Huang High School,District,80,82
7,Huang High School,District,69,96
8,Huang High School,District,87,95
9,Huang High School,District,84,96
10,Huang High School,District,70,90
11,Huang High School,District,77,78
12,Huang High School,District,79,64
13,Huang High School,District,79,71
14,Huang High School,District,67,85
15,Huang High School,District,88,94
16,Huang High School,District,55,88
17,Huang High School,District,75,74
18,Huang High School,District,69,64
19,Huang High School,District,80,89
20,Huang High School,District,89,91
21,Huang High School,District,77,90
22,Huang High School,District,84,99
23,Huang High School,District,68,81
24,Huang High School,District,73,85
25,Huang High School,District,70,92
26,Huang High School,District,85,63
27,Huang High School,District,58,80
28,Huang High School,District,55,73
29,Huang High School,District,88,90
30,Huang High School,District,99,94
31,Huang High School,District,65,97
32,Huang High School,District,90,93
33,Huang High School,District,68,95
34,Huang High School,District,74,65
35,Huang High School,District,61,99
36,Huang High School,District,76,76
37,Huang High School,District,66,63
38,Huang High School,District,77,73
39,Huang High School,District,61,80
40,Huang High School,District,69,79
41,Huang High School,District,95,85
42,Huang High School,District,89,65
43,Huang High School,District,90,66
44,Huang High School,District,66,75
45,Huang High School,District,93,64
46,Huang High School,District,59,73
47,Huang High School,District,81,77
48,Huang High School,District,66,76
49,Huang High School,District,93,73
50,Huang High School,District,95,82
51,Huang High School,District,56,91
52,Huang High School,District,78,69
53,Huang High School,District,69,96
54,Huang High School,District,68,83
55,Huang High School,District,71,95
56,Huang High School,District,72,72
57,Huang High School,District,56,97
58,Huang High School,District,84,74
59,Huang High School,District,70,88
60,Huang High School,District,89,63
61,Huang High School,District,95,64
62,Huang High School,District,65,74
63,Huang High School,District,61,77
64,Huang High School,District,57,87
65,Huang High School,District,60,74
66,Huang High School,District,93,77
67,Huang High School,District,60,70
68,Huang High School,District,82,65
69,Huang High School,District,89,75
70,Huang High School,District,60,70
71,Huang High School,District,68,93
72,Huang High School,District,65,82
73,Huang High School,District,94,72
74,Huang High School,District,85,85
75,Huang High School,District,62,87
76,Huang High School,District,76,78
77,Huang High School,District,76,83
78,Huang High School,District,57,99
79,Huang High School,District,81,74
80,Huang High School,District,70,67
81,Huang High School,District,73,94
82,Huang High School,District,57,81
83,Huang High School,District,76,64
84,Huang High School,District,63,77
85,Huang High School,District,60,94
86,Huang High School,District,84,93
87,Huang High School,District,56,85
88,Huang High School,District,70,90
89,Huang High School,District,78,70
90,Huang High School,District,86,99
91,Huang High School,District,98,96
92,Huang High School,District,72,75
93,Huang High School,District,91,84
94,Huang High School,District,61,86
95,Huang High School,District,58,89
96,Huang High School,District,72,77
97,Huang High School,District,87,82
98,Huang High School,District,89,99
99,Huang High School,District,63,87
100,Huang High School,District,67,69
101,Huang High School,District,57,72
102,Huang High School,District,58,74
103,Huang High School,District,74,86
104,Huang High School,District,66,75
105,Huang High School,District,95,82
106,Huang High School,District,86,76
107,Huang High School,District,88,68
108,Huang High School,District,67,77
109,Huang High School,District,62,78
110,Huang High School,District,77,67
111,Huang High School,District,79,70
112,Huang High School,District,67,88
113,Huang High School,District,73,85
114,Huang High School,District,86,88
115,Huang High School,District,60,79
116,Huang High School,District,69,75
117,Huang High School,District,90,80
118,Huang High School,District,68,66
119,Huang High School,District,80,65
120,Huang High School,District,81,88
121,Huang High School,District,76,78
122,Huang High School,District,57,98
123,Huang High School,District,77,88
124,Huang High School,District,65,63
125,Huang High School,District,63,79
126,Huang High School,District,66,93
127,Huang High School,District,89,74
128,Huang High School,District,81,70
129,Huang High School,District,79,65
130,Huang High School,District,71,77
131,Huang High School,District,77,63
132,Huang High School,District,57,79
133,Huang High School,District,95,95
134,Huang High School,District,59,83
135,Huang High School,District,79,80
136,Huang High School,District,58,66
137,Huang High School,District,92,86
138,Huang High School,District,91,74
139,Huang High School,District,75,97
140,Huang High School,District,67,76
141,Huang High School,District,71,99
142,Huang High School,District,76,78
143,Huang High School,District,73,82
144,Huang High School,District,73,98
145,Huang High School,District,71,78
146,Huang High School,District,90,98
147,Huang High School,District,67,90
148,Huang High School,District,58,85
149,Huang High School,District,91,81
150,Huang High School,District,99,78
151,Huang High School,District,56,66
152,Huang High School,District,92,66
153,Huang High School,District,82,85
154,Huang High School,District,77,83
155,Huang High School,District,73,82
156,Huang High School,District,82,88
157,Huang High School,District,92,76
158,Huang High School,District,67,66
159,Huang High School,District,73,88
160,Huang High School,District,98,75
161,Huang High School,District,88,68
162,Huang High School,District,56,72
163,Huang High School,District,98,83
164,Huang High School,District,61,85
165,Huang High School,District,87,70
166,Huang High School,District,72,95
167,Huang High School,District,84,64
168,Huang High School,District,85,64
169,Huang High School,District,67,98
170,Huang High School,District,82,65
171,Huang High School,District,78,79
172,Huang High School,District,71,94
173,Huang High School,District,62,92
174,Huang High School,District,97,85
175,Huang High School,District,82,70
176,Huang High School,District,80,80
177,Huang High School,District,79,65
178,Huang High School,District,61,95
179,Huang High School,District,56,76
180,Huang High School,District,83,84
181,Huang High School,District,99,92
182,Huang High School,District,55,88
183,Huang High School,District,91,73
184,Huang High School,District,63,89
185,Huang High School,District,92,94
186,Huang High School,District,76,96
187,Huang High School,District,90,78
188,Huang High School,District,61,65
189,Huang High School,District,61,77
190,Huang High School,District,96,86
191,Huang High School,District,59,96
192,Huang High School,District,63,68
193,Huang High School,District,59,89
194,Huang High School,District,56,72
195,Huang High School,District,60,86
196,Huang High School,District,89,63
197,Huang High School,District,69,63
198,Huang High School,District,55,86
199,Huang High School,District,99,85
200,Huang High School,District,85,85
201,Huang High School,District,66,96
202,Huang High School,District,61,83
203,Huang High School,District,72,82
204,Huang High School,District,56,71
205,Huang High School,District,83,94
206,Huang High School,District,92,91
207,Huang High School,District,76,88
208,Huang High School,District,86,83
209,Huang High School,District,96,86
210,Huang High School,District,79,63
211,Huang High School,District,76,83
212,Huang High School,District,87,64
213,Huang High School,District,61,71
214,Huang High School,District,66,70
215,Huang High School,District,79,65
216,Huang High School,District,98,79
217,Huang High School,District,68,96
218,Huang High School,District,62,66
219,Huang High School,District,79,87
220,Huang High School,District,77,77
221,Huang High School,District,88,90
222,Huang High School,District,78,94
223,Huang High School,District,56,64
224,Huang High School,District,90,93
225,Huang High School,District,87,89
226,Huang High School,District,76,80
227,Huang High School,District,69,89
228,Huang High School,District,65,66
229,Huang High School,District,78,99
230,Huang High School,District,64,76
231,Huang High School,District,89,74
232,Huang High School,District,55,97
233,Huang High School,District,98,77
234,Huang High School,District,93,78
235,Huang High School,District,97,88
236,Huang High School,District,71,90
237,Huang High School,District,92,88
238,Huang High School,District,83,87
239,Huang High School,District,81,70
240,Huang High School,District,94,70
241,Huang High School,District,83,95
242,Huang High School,District,92,75
243,Huang High School,District,96,78
244,Huang High School,District,59,95
245,Huang High School,District,72,99
246,Huang High School,District,78,64
247,Huang High School,District,60,68
248,Huang High School,District,69,86
249,Huang High School,District,79,70
250,Huang High School,District,97,95
251,Huang High School,District,78,80
252,Huang High School,District,66,99
253,Huang High School,District,72,96
254,Huang High School,District,60,82
255,Huang High School,District,62,64
256,Huang High School,District,76,74
257,Huang High School,District,90,68
258,Huang High School,District,61,97
259,Huang High School,District,69,99
260,Huang High School,District,56,76
261,Huang High School,District,97,83
262,Huang High School,District,61,68
263,Huang High School,District,62,93
264,Huang High School,District,91,91
265,Huang High School,District,83,76
266,Huang High School,District,92,83
